COUNTY,COUNTYFP,1970_65_plus,1970_pop,1970_65_percent,1980_65_plus,1980_pop,1980_65_percent,1990_65_plus,1990_pop,1990_65_percent,2000_65_plus,2000_pop,2000_65_percent,2010_65_plus,2010_pop,2010_65_percent,2020_65_plus,2020_pop,2020_65_percent
Trempealeau County,121,3674,23344,15.74,4277,26158,16.35,4624,25263,18.3,4435,27010,16.42,4567,28816,15.85,5664,30760,18.41
Vernon County,123,3885,24557,15.82,4423,25642,17.25,4792,25617,18.71,4769,28056,17,4962,29773,16.67,6380,30714,20.77
Vilas County,125,1866,10958,17.03,3231,16535,19.54,4051,17707,22.88,4794,21033,22.79,5556,21430,25.93,7762,23047,33.68
Walworth County,127,7408,63444,11.68,9182,71507,12.84,10673,75000,14.23,11934,93759,12.73,13757,102228,13.46,20068,106478,18.85
Washburn County,129,1736,10601,16.38,2226,13174,16.9,2627,13772,19.07,2967,16036,18.5,3380,15911,21.24,4784,16623,28.78
Washington County,131,5247,63839,8.22,7125,84848,8.4,9942,95328,10.43,13212,117493,11.24,17803,131887,13.5,26184,136761,19.15
Waukesha County,133,14794,231365,6.39,20914,280326,7.46,29926,304715,9.82,43434,360767,12.04,55688,389891,14.28,79964,406978,19.65
Waupaca County,135,6538,37780,17.31,7449,42831,17.39,8153,46104,17.68,8626,51731,16.67,9462,52410,18.05,11572,51812,22.33
Waushara County,137,2531,14795,17.11,3378,18526,18.23,3760,19385,19.4,4455,23154,19.24,4883,24496,19.93,6121,24520,24.96
Winnebago County,139,12946,129931,9.96,15288,131703,11.61,18023,140320,12.84,19663,156763,12.54,22336,166994,13.38,29217,171730,17.01
Wood County,141,6549,65362,10.02,8760,72799,12.03,10438,73605,14.18,11596,75555,15.35,12762,74749,17.07,16065,74207,21.65
