COUNTY,COUNTYFP,under_5_1970,under_5_1980,under_5_1990,under_5_2000,under_5_2010,under_5_2020,5_to_9_1970,5_to_9_1980,5_to_9_1990,5_to_9_2000,5_to_9_2010,5_to_9_2020,10_to_14_1970,10_to_14_1980,10_to_14_1990,10_to_14_2000,10_to_14_2010,10_to_14_2020,15_to_17_1970,15_to_17_1980,15_to_17_1990,15_to_17_2000,15_to_17_2010,15_to_17_2020,18_and_19_1970,18_and_19_1980,18_and_19_1990,18_and_19_2000,18_and_19_2010,18_and_19_2020,20_1970,20_1980,20_1990,20_2000,20_2010,20_2020,21_1970,21_1980,21_1990,21_2000,21_2010,21_2020,22_to_24_1970,22_to_24_1980,22_to_24_1990,22_to_24_2000,22_to_24_2010,22_to_24_2020,25_to_29_1970,25_to_29_1980,25_to_29_1990,25_to_29_2000,25_to_29_2010,25_to_29_2020,30_to_34_1970,30_to_34_1980,30_to_34_1990,30_to_34_2000,30_to_34_2010,30_to_34_2020,35_to_44_1970,35_to_44_1980,35_to_44_1990,35_to_44_2000,35_to_44_2010,35_to_44_2020,45_to_54_1970,45_to_54_1980,45_to_54_1990,45_to_54_2000,45_to_54_2010,45_to_54_2020,55_to_59_1970,55_to_59_1980,55_to_59_1990,55_to_59_2000,55_to_59_2010,55_to_59_2020,60_and_61_1970,60_and_61_1980,60_and_61_1990,60_and_61_2000,60_and_61_2010,60_and_61_2020,62_to_64_1970,62_to_64_1980,62_to_64_1990,62_to_64_2000,62_to_64_2010,62_to_64_2020,65_to_74_1970,65_to_74_1980,65_to_74_1990,65_to_74_2000,65_to_74_2010,65_to_74_2020,75_to_84_1970,75_to_84_1980,75_to_84_1990,75_to_84_2000,75_to_84_2010,75_to_84_2020,85_and_over_1970,85_and_over_1980,85_and_over_1990,85_and_over_2000,85_and_over_2010,85_and_over_2020
Kewaunee County,61,1705,1595,1335,1193,1172,1055,2056,1529,1568,1385,1383,1186,2178,1793,1509,1617,1411,1368,1294,1240,903,1022,883,841,689,708,473,545,424,480,270,369,212,223,187,215,221,318,199,210,170,211,684,968,733,636,594,571,1007,1446,1402,1104,1082,1078,859,1279,1493,1333,1176,1110,1817,1874,2625,3248,2632,2411,2060,1756,1796,2768,3321,2551,1039,984,831,1009,1491,1647,367,384,330,345,548,682,496,588,482,472,707,912,1318,1637,1606,1429,1692,2491,732,804,1072,1184,1090,1273,169,267,309,464,611,481
La Crosse County,63,6503,6117,6918,6361,6748,6079,7532,5946,7194,7061,6562,6636,7975,6856,6466,7306,6816,7247,4606,4564,3532,4533,4336,4211,4784,5748,4523,4984,5211,3738,2061,3013,2538,3151,3081,3005,1648,2738,2489,2762,2928,3835,3849,6216,5645,5783,6617,7174,4646,8126,7785,6699,8094,7851,3938,6537,8048,6991,6680,7606,7977,8672,14108,15764,13039,13992,8291,7793,8666,14044,15821,13062,3885,3991,3785,4523,7346,7569,1514,1460,1475,1530,2695,3133,2026,2278,2191,2188,3463,4543,5398,6246,6687,6621,7490,12273,3036,3608,4292,4905,5176,5991,799,1147,1562,1914,2535,2839
Lafayette County,65,1461,1462,1197,957,1189,1049,2003,1337,1481,1163,1181,1148,2263,1517,1336,1336,1178,1219,1203,1206,678,933,801,704,508,637,416,445,417,411,207,286,163,174,178,143,172,267,150,158,144,182,556,895,489,449,566,469,785,1321,1160,746,935,886,837,1021,1346,945,872,929,1822,1689,2127,2706,1929,1893,1814,1714,1497,2104,2735,1918,870,895,743,727,1211,1229,314,309,304,307,412,536,416,512,501,434,487,781,1250,1374,1404,1347,1320,1866,775,713,836,875,950,888,200,257,248,331,331,360
Langlade County,67,1610,1494,1316,1121,1030,977,2028,1482,1458,1354,1132,1054,2228,1793,1533,1619,1224,1093,1276,1275,896,963,829,720,626,708,438,474,437,359,214,304,206,177,183,185,210,259,156,182,166,152,548,820,580,511,551,473,877,1348,1325,1015,977,835,846,1200,1420,1188,984,987,1797,1951,2582,3193,2268,2001,2063,1881,1933,2808,3330,2269,1066,1064,888,1102,1540,1731,441,446,433,435,563,693,586,689,646,690,777,1056,1643,1986,2020,1956,2112,2848,930,966,1284,1410,1321,1472,231,312,391,542,553,586
Lincoln County,69,1982,1908,1770,1703,1471,1233,2468,1931,2078,1992,1602,1397,2596,2294,2071,2157,1870,1668,1412,1878,1352,1689,1359,1100,602,904,662,687,637,558,217,379,297,303,226,227,205,411,278,260,225,223,779,1183,927,793,718,797,1248,1828,1936,1586,1380,1357,1228,1631,2191,1867,1418,1372,2485,2871,3521,4843,3576,3082,2560,2651,2903,3859,5078,3612,1336,1360,1280,1599,2128,2491,472,486,553,587,695,1043,732,808,799,864,1091,1541,1935,2359,2332,2434,2740,3761,1016,1282,1546,1650,1740,2089,226,391,497,768,789,864
Manitowoc County,71,7285,6229,5636,4846,4550,4028,8930,6058,6309,5791,4874,4696,9042,7250,6118,6434,5254,5030,5242,5140,3273,4030,3532,3009,2702,3091,2057,2195,1952,1754,1127,1355,989,925,792,858,981,1310,871,772,757,813,3203,4229,3035,2444,2484,2253,4687,6564,5886,4275,4480,4342,4022,5705,6499,5453,4404,4528,8559,8469,11482,13615,9963,9313,9027,8059,8047,11547,13589,10078,4244,4219,3569,4186,6166,6566,1532,1610,1521,1410,2120,2734,2186,2359,2327,1961,2811,3933,5776,6489,6803,6389,6794,10047,2996,3722,4518,4806,4687,5156,753,1060,1481,1808,2233,2221
Marathon County,73,8778,9103,8570,8098,8771,7817,10636,9020,9522,9383,8886,8635,11224,9829,9249,10058,9320,9284,6200,6648,5112,6177,5892,5400,3409,4349,3275,3525,3413,3089,1283,1955,1450,1508,1428,1413,1133,1894,1403,1273,1297,1312,3743,5959,4562,4018,4375,4386,6014,9576,9264,7542,8387,8310,5239,8273,9853,8805,7976,8489,10414,12407,17407,20823,17712,17036,10782,10389,11656,17471,20965,17332,4834,5145,4674,6048,9295,10162,1714,1997,1937,2020,3243,4032,2237,2676,2855,2764,4115,5778,5877,7258,8202,8075,9675,14715,3238,3607,4947,6057,6247,7572,702,1185,1462,2189,3066,3251
Marinette County,75,2822,3016,2782,2222,2096,1902,3514,2869,3261,2676,2327,2233,3808,3255,3143,3252,2508,2387,2259,2327,1712,2051,1636,1432,1030,1293,958,1339,1019,813,436,613,441,575,471,329,317,579,405,474,452,368,1114,1772,1234,1114,1258,940,1835,2830,2835,1955,2087,1982,1623,2463,3136,2349,2041,2234,3354,4108,5545,6911,4540,4544,4120,3631,4149,6089,6963,4857,2280,2002,1812,2509,3274,3588,864,901,781,908,1168,1497,1175,1312,1210,1333,1655,2229,3203,3850,3785,3761,4393,6121,1679,1942,2497,2707,2584,3216,377,551,862,1159,1277,1200
Marquette County,77,589,800,721,765,801,686,793,800,899,835,808,880,935,933,916,1058,911,925,567,652,489,677,565,551,200,340,238,323,285,287,82,139,93,159,131,108,64,143,98,137,134,151,205,453,372,444,426,335,367,784,735,915,652,628,419,667,884,1040,702,723,887,1155,1566,2627,1695,1620,988,1185,1218,2167,2655,1877,552,672,701,873,1273,1389,205,299,335,368,455,594,335,488,543,548,665,856,1039,1369,1498,1703,1852,2390,527,628,803,929,1054,1212,111,165,212,264,340,380
Menominee County,78,360,410,489,434,410,369,424,364,482,517,373,374,419,419,420,545,346,396,183,287,209,280,250,223,69,140,113,129,153,102,26,58,49,74,62,61,21,66,52,56,56,48,78,180,158,122,162,121,109,237,278,231,231,224,127,183,311,273,211,240,217,297,389,624,491,402,220,272,305,464,597,424,120,113,153,213,214,306,31,47,61,98,75,123,57,63,93,116,119,181,100,175,223,275,319,427,36,55,84,98,138,185,10,7,21,13,25,49
Milwaukee County,79,89354,69030,75373,67141,69364,58874,100898,64808,71021,71253,64289,60142,104010,71342,64303,69193,63132,63818,58143,49902,35605,40238,39592,36209,36436,36767,27787,28436,30320,28066,17238,19500,14716,14642,15782,14395,16976,19574,14614,13963,15522,13826,52575,60929,46986,41268,46653,41759,70448,91222,89328,71001,78250,76012,55835,70816,87728,70129,68088,72426,116334,93521,135784,143417,119301,121162,121087,98174,84149,118257,127190,105609,55334,52580,39466,38037,56696,56675,20508,18674,16771,13081,19713,23057,27549,26602,25057,18423,24710,32906,69366,71272,71955,59920,51884,80963,34107,39197,43959,45253,38262,35966,7865,11078,14673,16512,18987,17624
Monroe County,81,2576,2735,2891,2739,3236,2922,3222,2784,3184,3116,3230,3298,3565,3039,2959,3431,3221,3444,2146,2083,1658,2212,1983,1936,786,1140,889,1075,1040,1036,335,511,412,456,411,447,302,500,352,405,363,433,1095,1549,1248,1205,1454,1384,1621,2589,2634,2198,2759,2537,1411,2469,2822,2520,2562,2885,3278,3638,5352,6509,5468,5735,3913,3438,3602,5716,6939,5305,1650,1981,1569,2021,3118,3359,577,726,636,624,1108,1371,840,1071,1036,982,1558,1856,2443,2668,3088,2815,3311,4910,1489,1604,1707,2115,2036,2402,361,549,594,760,876,1014
Oconto County,83,2034,2213,2169,2026,2098,1945,2683,2230,2376,2502,2278,2211,3051,2557,2361,2868,2408,2373,1731,1902,1325,1764,1648,1427,655,956,679,824,835,762,247,408,280,298,298,384,232,418,302,306,317,284,801,1247,998,857,980,868,1162,2012,2216,1661,1724,1682,1153,1908,2395,2403,2065,2092,2415,3008,4193,6177,4980,4489,2880,2714,3023,4872,6685,5122,1551,1428,1415,1923,2883,3463,557,658,608,736,978,1457,841,954,906,1029,1461,2029,2146,2689,2820,2840,3445,5180,1128,1283,1653,1895,1890,2432,286,362,507,653,687,765
Oneida County,85,1816,2037,1998,1739,1682,1610,2510,2008,2212,2241,1716,1749,2754,2600,2103,2638,1851,1874,1548,1905,1211,1585,1390,1151,705,1003,628,758,703,569,253,464,268,290,333,274,205,425,227,272,293,254,661,1395,888,771,954,870,1224,2384,2079,1623,1698,1687,1186,2008,2440,2131,1557,1818,2567,3576,4538,5976,4068,3780,2907,3186,3627,5401,6273,4433,1497,1683,1793,2284,3027,3397,600,739,751,867,1119,1501,806,1096,1195,1316,1534,2232,2084,3097,3300,3939,4269,6095,901,1263,1859,2160,2586,3378,203,347,562,785,945,1173
Outagamie County,87,11620,10799,11455,11124,11702,11141,14587,10038,11652,12567,12410,12565,14312,11732,10905,13093,12440,13036,7837,8455,5908,7743,7872,7777,4496,5620,3910,4477,4640,4826,1895,2575,1933,2041,2079,2354,1863,2465,1903,1934,1999,2292,5202,7153,6200,5841,6625,6501,7466,11182,12747,10618,12094,12112,6575,9656,12839,12543,11822,12761,12460,14040,21148,28113,24195,24951,11608,11861,13565,20924,28090,23973,5038,5643,5353,7087,11195,13910,1865,1931,2205,2249,3833,5432,2394,2857,3132,3032,4865,7172,6194,7585,8594,8926,10873,17658,3114,4033,5308,6297,6925,8686,830,1174,1753,2362,3036,3558
Ozaukee County,89,5074,4771,5323,5069,4548,4729,6674,5287,5834,6096,5619,5332,6843,6500,5449,6825,6221,5784,3648,4387,3079,3941,3984,3815,1577,2411,1900,2073,2186,2510,641,1061,856,792,868,1193,540,961,801,704,808,1165,1815,3062,2542,2055,2558,2517,3317,4840,5085,3538,4074,3811,3400,5364,6023,4897,4021,4685,6998,9147,12304,14614,11016,10735,5957,7640,8839,13207,15072,11755,2280,3299,3426,4713,6745,7074,740,1131,1336,1454,2344,2917,948,1458,1974,1982,3123,4267,2469,3473,4801,5648,6909,11017,1200,1727,2485,3529,4422,5697,300,462,774,1180,1877,2500
Pepin County,91,607,610,505,426,468,424,868,555,635,501,438,486,912,653,594,561,481,475,463,507,316,421,317,228,197,288,163,224,171,132,80,110,73,93,72,70,84,106,67,61,49,51,236,365,178,193,196,189,298,508,457,327,382,367,333,484,552,451,364,385,671,677,976,1093,893,771,701,679,646,978,1199,850,396,324,294,336,607,577,157,141,134,121,201,251,205,198,195,212,294,391,664,690,641,561,673,1027,342,433,486,448,457,482,105,149,195,206,207,162
Pierce County,93,2241,2372,2381,2110,2414,2065,2768,2363,2637,2483,2535,2405,2703,2482,2454,2707,2556,2725,1518,1794,1376,1697,1654,1636,1793,2173,1718,2119,2182,2030,764,1028,917,1250,1181,1181,684,963,815,1018,1198,1168,1372,2063,1821,1860,2280,1841,1499,2558,2615,2198,2511,2219,1260,2270,2728,2259,2199,2286,2397,3065,4721,5894,5053,4895,2449,2430,2923,4900,6247,4959,1111,1243,1121,1536,2629,3053,401,475,432,560,891,1215,638,660,621,674,1206,1799,1678,1820,1939,1783,2363,4167,1081,1040,1144,1279,1315,1876,295,350,402,477,605,692
Polk County,95,2047,2527,2542,2427,2714,2107,2794,2645,2996,2962,2828,2538,2872,2604,2784,3293,2920,2976,1682,1926,1606,2153,2038,1789,687,1046,772,992,938,880,291,481,311,373,371,370,279,434,303,329,362,379,892,1374,985,1086,1168,1131,1322,2520,2444,2083,2279,2058,1276,2251,2843,2550,2427,2283,2565,3376,5169,6794,5598,5183,2920,2919,3471,5947,7290,5709,1580,1614,1425,2156,3400,3798,592,630,586,799,1203,1581,852,965,987,1128,1605,2211,2410,2906,2898,3111,3850,5945,1268,1641,1964,2223,2216,2998,337,492,687,913,998,1041
Portage County,97,4078,4343,4266,3964,3891,3520,4889,4105,4667,4331,3974,3894,4540,4566,4413,4787,4121,4066,2613,3199,2398,3095,2561,2372,4105,3954,3245,3299,3299,2142,1648,2061,1747,1918,1949,1739,1323,1950,1677,1808,2003,1682,2600,4106,4014,3863,4226,3807,2789,5050,4957,4048,4550,4563,2279,4130,4940,4274,3881,4231,4237,5593,8690,10261,7991,8112,4305,4447,5489,8945,10180,7878,1976,2158,2157,2894,4772,4895,766,844,856,1013,1609,1981,1045,1183,1286,1328,2057,2843,2606,3391,3610,3791,4723,7668,1425,1806,2273,2565,2846,3661,317,534,720,998,1386,1323
Price County,99,1175,1191,1031,770,616,582,1417,1230,1193,1027,728,660,1534,1340,1208,1199,811,732,921,955,701,774,544,514,297,424,323,343,295,242,154,192,143,112,85,75,116,186,117,117,91,75,382,628,484,344,277,309,627,1072,1040,709,567,527,624,958,1155,910,624,568,1366,1548,2081,2465,1614,1401,1672,1538,1475,2356,2575,1774,964,855,755,880,1261,1273,388,331,307,343,490,559,502,563,549,492,613,841,1371,1694,1578,1449,1549,2320,809,832,1110,1051,989,1164,201,251,350,481,430,438
Racine County,101,15981,13510,13635,13220,12747,11209,19568,13486,14338,14069,13233,12264,19882,15577,13267,14667,13991,13303,10591,10775,7381,8995,8539,7900,5461,6459,4360,5013,4689,4552,2290,3050,2193,2288,2246,2238,2188,2856,2139,2156,2150,2240,7300,9345,7020,6158,6793,6440,11057,14504,14279,11116,11963,11383,9795,13277,15568,13415,11833,12072,19182,19673,26393,32004,25736,24176,18171,17465,18268,26267,31778,25387,7619,8552,7571,9105,13217,15277,2674,2981,3027,3048,4664,5983,3638,4042,4505,4077,6090,8546,9207,10168,12156,12006,13402,20720,5060,5560,6700,8381,8491,9992,1174,1852,2234,2846,3846,4045
Richland County,103,1351,1335,1234,1004,1175,897,1708,1294,1416,1191,1184,1022,1865,1390,1393,1432,1103,1234,1154,989,717,885,738,782,631,628,524,584,515,387,196,290,225,224,220,142,167,254,172,190,136,136,581,820,540,511,506,464,779,1393,1172,887,934,759,783,1100,1296,998,932,888,1699,1621,2421,2686,2021,1859,1976,1695,1687,2525,2709,1991,934,940,778,912,1495,1308,371,376,346,345,474,560,495,593,540,466,634,827,1350,1588,1652,1509,1619,2352,834,876,1030,1135,1087,1152,205,294,378,440,539,544
Rock County,105,12364,10790,10784,10263,10445,9434,14893,11003,10787,11460,11116,10203,14793,12197,10346,11828,11427,11109,7958,8411,5942,6815,7195,6659,4492,5392,3976,4115,4386,4092,1889,2539,1973,1957,1950,1903,1776,2577,1903,1847,1868,1923,5878,7683,5823,5191,5591,5287,8715,11594,11180,9694,10134,9915,7889,10328,11717,10912,10025,10382,14755,15908,20320,24810,21393,20306,13139,13915,14817,20645,24117,20567,5850,6344,6409,7326,10405,11777,2168,2171,2468,2523,3615,4686,2920,3275,3472,3526,4905,6610,7386,8897,9727,10198,11466,16871,4044,4796,5877,6645,7256,8506,1061,1600,1989,2552,3037,3457
Rusk County,107,1125,1211,1079,829,813,706,1510,1233,1184,1057,868,776,1664,1388,1182,1151,954,907,990,961,715,766,680,497,436,560,403,423,324,271,163,231,159,181,120,124,139,243,170,188,112,104,408,710,492,418,343,315,637,1124,1029,688,641,607,570,967,1094,884,691,637,1287,1424,1980,2237,1658,1470,1692,1417,1420,2113,2393,1646,848,856,680,822,1185,1218,322,340,266,311,406,485,423,561,468,447,603,755,1169,1418,1515,1400,1515,2198,693,699,955,1021,999,1028,162,246,288,411,450,444
Sauk County,111,3384,3173,3507,3567,3979,5471,3855,3240,3757,3856,4014,6392,4262,3810,3507,4404,4170,7149,2459,2555,2001,2544,2604,4177,1077,1353,1121,1369,1326,2071,443,691,550,602,609,938,426,601,474,565,567,949,1500,2014,1720,1571,2160,2656,2222,3314,3550,3312,3994,4918,1896,3043,3931,3789,3740,5689,4009,4536,6815,9061,8044,12951,4409,4138,4582,7641,9545,12655,2067,2217,2004,2726,4293,6942,810,893,803,934,1516,2679,1038,1284,1243,1291,2127,3524,3044,3756,3989,3880,4769,8861,1686,2076,2513,2946,2962,3990,470,775,908,1167,1557,1524
Sawyer County,113,713,897,992,891,971,3644,973,901,1120,1021,903,4053,944,1083,1009,1260,934,4348,642,781,595,729,646,2521,175,361,267,367,336,1381,81,140,148,121,127,666,73,138,111,129,132,664,214,512,351,355,466,2052,432,838,860,695,759,3662,399,783,1004,834,698,4091,893,1322,1891,2459,1795,8176,1128,1293,1430,2376,2656,7983,717,699,789,1059,1381,4807,265,318,326,422,554,1952,401,545,550,574,770,2741,1066,1473,1543,1656,2033,7573,445,615,960,907,1032,3822,109,144,235,341,364,1627
Shawano County,115,2692,2625,2615,2500,2443,759,3425,2734,2855,2778,2648,933,3525,3240,2776,3159,2725,1068,2071,2266,1734,1996,1746,590,842,1166,843,930,977,345,312,528,428,386,417,165,298,445,416,362,356,133,986,1502,1261,1123,1240,354,1633,2371,2640,2182,2239,724,1546,2144,2844,2648,2143,829,3205,3723,4697,6367,5285,1631,3819,3482,3727,5200,6589,2008,1935,1933,1696,2265,2936,1505,724,834,740,773,1028,705,1030,1225,1213,1148,1497,1144,2709,3384,3620,3434,4104,3158,1529,1745,2301,2498,2482,1542,369,581,751,915,1094,481
Sheboygan County,117,8327,7612,7393,7213,7156,2132,9723,7498,8117,7881,7521,2373,10113,8409,7841,8427,7956,2621,5771,5825,4504,5254,4949,1598,3327,3613,2547,3056,2694,870,1370,1761,1276,1390,1222,407,1277,1671,1222,1185,1148,389,3869,5344,4025,3850,3828,1094,5681,8232,8213,6813,7007,1993,4974,7197,8996,7863,6857,2233,10123,10711,15457,18905,15056,4414,10753,9747,10234,15456,18605,5201,5128,5080,4371,5309,8183,3438,1848,1938,1842,1731,2806,1291,2672,2861,2705,2581,3698,1873,7084,7845,8165,7594,8426,5000,3758,4306,5232,5840,5657,2968,862,1285,1737,2298,2738,986
St. Croix County,109,3186,3688,4140,4423,6166,6263,4151,3667,4490,4921,6705,7018,4193,3943,4196,5124,6396,7738,2289,2778,2291,3149,3616,4581,939,1585,1235,1592,1745,2990,391,743,586,672,732,1490,400,745,572,700,646,1208,1392,2266,1893,2196,2546,3727,2063,3645,4214,4112,5546,6883,1914,3533,4693,4732,5996,7033,3709,5079,8231,11505,12640,14363,3350,3934,5097,8918,13616,14845,1382,1795,1869,2889,5379,8874,554,553,672,880,1788,3544,735,874,972,1121,2360,5231,2035,2313,2621,3172,4672,13073,1316,1500,1717,2072,2637,6516,355,621,762,977,1159,2657
Taylor County,119,1536,1647,1514,1148,1359,1195,1973,1494,1712,1427,1445,1263,2160,1786,1592,1675,1367,1510,1210,1181,892,1082,918,819,513,702,460,509,424,480,161,313,210,211,191,199,160,309,179,197,186,157,475,977,673,580,601,446,713,1375,1495,1042,1054,908,800,1170,1559,1234,1159,1141,1633,1812,2460,3302,2576,2301,1827,1710,1728,2551,3510,2379,911,857,754,866,1425,1654,322,325,308,365,515,665,455,562,493,499,625,947,1157,1547,1497,1445,1657,2223,764,780,1053,1080,1113,1165,188,270,322,467,564,461
Trempealeau County,121,2025,1856,1767,1663,1885,1999,2309,2039,1893,1940,1954,2092,2449,2367,1823,2017,1938,2235,1377,1593,1110,1224,1208,1284,631,781,639,643,628,656,250,373,276,242,241,278,189,376,263,234,230,274,716,1104,876,755,875,865,1191,1954,1838,1522,1715,1816,1072,1690,1887,1795,1663,1848,2256,2669,3481,4300,3756,3781,2715,2362,2560,3688,4443,3691,1309,1363,1061,1401,2069,2193,483,532,475,492,693,875,698,822,690,659,951,1209,2034,2324,2336,2030,2347,3324,1294,1452,1672,1691,1444,1708,346,501,616,714,776,632
Vernon County,123,1800,1843,1857,1835,2121,2110,2285,1824,2115,2064,2257,2174,2739,2040,1939,2349,2190,2316,1580,1512,1116,1448,1310,1380,594,734,548,727,677,674,239,328,224,250,260,282,205,333,219,229,245,243,714,1077,739,691,776,739,1144,1843,1622,1245,1489,1461,1135,1624,1967,1571,1476,1597,2497,2571,3534,4275,3328,3378,3039,2554,2548,3854,4707,3363,1379,1502,1167,1487,2170,2204,502,569,469,509,754,960,820,865,761,753,1051,1453,2285,2472,2537,2296,2528,3747,1261,1471,1662,1760,1683,1860,339,480,593,713,751,773
Vilas County,125,737,928,1051,896,956,825,1026,1036,1192,1185,1014,996,1093,1294,1044,1420,1062,1100,618,916,648,844,777,673,223,443,310,380,407,379,95,179,123,156,163,152,79,166,120,134,148,164,276,565,424,375,427,416,484,1058,943,810,807,762,483,987,1152,1043,832,1003,1084,1756,2304,3012,2205,1816,1335,1718,1985,2986,3461,2526,772,1029,1071,1474,1775,2091,292,449,460,569,731,944,495,780,829,955,1109,1438,1343,2164,2405,2751,3124,4463,396,872,1294,1561,1800,2538,127,195,352,482,632,761
Walworth County,127,4889,4793,4948,5527,6196,4890,6108,4797,5197,6299,6768,5786,6317,5722,5055,6864,6796,6579,3679,4186,2779,3964,4240,4253,3497,3394,2811,4196,3348,4272,1692,1971,1720,2323,1968,2562,1478,1994,1999,2094,2061,2308,3069,3939,3831,4318,4655,4344,3671,5529,5582,5278,5746,5419,3214,5001,5860,5925,5724,5685,6245,7731,10708,14638,12714,11760,6459,6711,7438,12289,15568,12707,2995,3393,3147,4456,6930,8009,1131,1231,1323,1497,2439,3313,1592,1933,1929,2157,3318,4523,4341,5424,5678,6045,7362,12047,2453,2836,3673,4165,4401,5755,614,922,1322,1724,1994,2266
Washburn County,129,720,1004,901,824,872,680,1015,994,1081,987,860,817,1130,1031,1063,1203,890,946,695,740,572,801,610,568,270,392,296,367,296,300,90,152,113,126,106,110,93,173,83,124,114,126,274,497,363,321,361,308,502,936,812,708,724,638,472,837,981,803,744,719,961,1377,1952,2452,1731,1634,1318,1211,1444,2379,2583,1954,661,750,680,1066,1401,1452,254,305,308,347,484,649,410,549,496,561,755,938,1095,1363,1516,1556,1919,2888,518,689,841,1036,1022,1388,123,174,270,375,439,508
Washington County,131,6627,7108,7240,7970,8179,6970,8045,7420,7832,8687,9028,8084,7629,8481,7664,9224,9487,9092,3851,5587,4307,5449,5683,5585,1930,2995,2475,2786,2807,2963,800,1369,1229,1238,1169,1441,705,1338,1126,1102,1077,1241,2444,3927,3876,3305,3674,3537,4307,7079,7766,6587,7128,6696,4040,7273,8426,8838,7623,7718,7269,10964,15391,21639,18562,16825,6259,7875,10619,17021,22805,18586,2604,3409,3908,5946,9207,11545,896,1198,1451,1910,3378,4279,1186,1700,2076,2579,4277,6015,3098,4106,5545,6896,9496,15356,1674,2189,3292,4651,5806,7828,475,830,1105,1665,2501,3000
Waukesha County,133,20839,20054,21801,23096,21474,21063,28710,22762,23575,26175,26223,24159,29522,28095,23741,28630,28181,26588,15424,19241,13993,17002,17932,16975,7691,10291,8075,8359,8577,9079,2842,4473,3727,3382,3546,4091,2474,4294,3495,3091,3462,4001,7112,11902,10642,9753,11296,11268,13517,20428,21863,18300,19783,18921,14976,23893,26590,23966,20389,22873,31730,38987,52958,65173,51771,50973,25555,32092,36927,56475,68404,53040,9110,13116,14533,19511,29229,32350,3114,4235,5291,6122,10242,13283,3955,5549,7578,8298,13694,18350,8968,12528,17686,23454,28754,46387,4591,6303,8970,14533,19025,23211,1235,2083,3270,5447,7909,10366
Waupaca County,135,2930,3230,3212,3119,2914,2506,3613,3185,3613,3683,3208,2791,3750,3501,3593,4003,3424,3182,2307,2395,1965,2472,2324,1965,968,1372,1124,1292,1121,1122,362,640,515,512,446,475,359,583,464,468,419,574,1233,1895,1550,1410,1485,1376,1957,3177,3365,2714,2702,2610,1723,2733,3626,3296,2847,2771,3600,4292,6457,8396,6435,5892,4197,3912,4383,6999,8604,6497,2155,2176,1972,2577,3865,4294,856,856,818,888,1342,1744,1232,1435,1294,1276,1812,2441,3640,3993,4134,4012,4536,6572,2271,2507,2846,3262,3182,3490,627,949,1173,1352,1744,1510
Waushara County,137,1128,1290,1239,1162,1171,1080,1376,1253,1387,1437,1345,1263,1463,1519,1422,1776,1410,1287,908,1032,748,1069,908,830,371,552,403,511,517,478,130,215,173,171,174,234,159,241,156,186,191,207,475,737,552,528,657,534,733,1253,1247,975,1237,1143,687,1190,1388,1222,1283,1279,1440,1862,2624,3576,2873,2647,1583,1884,1991,3293,4099,2996,855,1060,1061,1349,1941,2226,396,422,471,554,762,893,560,638,763,890,1045,1302,1607,2088,2140,2484,2689,3732,737,1009,1239,1454,1627,1802,187,281,381,517,567,587
Winnebago County,139,10648,8799,9815,9364,9866,9241,12991,8896,10060,10395,9944,9941,13195,10351,8935,11001,9972,10231,7403,7579,4987,6583,6350,6115,6787,6283,5111,5611,5683,4025,3183,3217,2958,2992,3015,3012,2810,3064,2703,2757,3096,3370,6542,8086,7093,7133,8076,7556,8234,11578,12330,10344,11511,11307,6803,9693,12253,11115,10409,11820,13675,14143,20559,26136,21429,21221,13307,12826,13816,20832,25560,20716,6070,6163,5902,7060,11041,12337,2247,2277,2392,2392,3740,4781,3090,3460,3383,3385,4966,6840,7721,8958,9717,9862,11159,17087,4167,4819,6148,6997,7576,8298,1058,1511,2158,2804,3601,3832
Wood County,141,6282,5747,5526,4634,4482,4017,7545,5685,6111,5217,4451,4248,7694,6555,5692,5837,4848,4691,4190,4533,3203,3697,3223,2707,2038,2779,1886,1966,1726,1555,816,1310,823,854,772,765,771,1316,829,786,644,695,2545,3879,2777,2219,2497,2176,3798,5847,5893,4122,4279,3992,3567,5188,6244,4904,3970,4414,6858,7789,10617,12425,8973,8354,6957,6763,7361,10415,12281,8861,3074,3554,3113,3681,5375,5885,1105,1259,1214,1314,1943,2382,1573,1835,1878,1888,2523,3400,3897,5058,5677,5522,6280,8767,2106,2810,3500,4324,4305,5014,546,892,1261,1750,2177,2284
