COUNTY,COUNTYFP,under_5_1970,under_5_1980,under_5_1990,under_5_2000,under_5_2010,under_5_2020,5_to_9_1970,5_to_9_1980,5_to_9_1990,5_to_9_2000,5_to_9_2010,5_to_9_2020,10_to_14_1970,10_to_14_1980,10_to_14_1990,10_to_14_2000,10_to_14_2010,10_to_14_2020,15_to_17_1970,15_to_17_1980,15_to_17_1990,15_to_17_2000,15_to_17_2010,15_to_17_2020,18_and_19_1970,18_and_19_1980,18_and_19_1990,18_and_19_2000,18_and_19_2010,18_and_19_2020,20_1970,20_1980,20_1990,20_2000,20_2010,20_2020,21_1970,21_1980,21_1990,21_2000,21_2010,21_2020,22_to_24_1970,22_to_24_1980,22_to_24_1990,22_to_24_2000,22_to_24_2010,22_to_24_2020,25_to_29_1970,25_to_29_1980,25_to_29_1990,25_to_29_2000,25_to_29_2010,25_to_29_2020,30_to_34_1970,30_to_34_1980,30_to_34_1990,30_to_34_2000,30_to_34_2010,30_to_34_2020,35_to_44_1970,35_to_44_1980,35_to_44_1990,35_to_44_2000,35_to_44_2010,35_to_44_2020,45_to_54_1970,45_to_54_1980,45_to_54_1990,45_to_54_2000,45_to_54_2010,45_to_54_2020,55_to_59_1970,55_to_59_1980,55_to_59_1990,55_to_59_2000,55_to_59_2010,55_to_59_2020,60_and_61_1970,60_and_61_1980,60_and_61_1990,60_and_61_2000,60_and_61_2010,60_and_61_2020,62_to_64_1970,62_to_64_1980,62_to_64_1990,62_to_64_2000,62_to_64_2010,62_to_64_2020,65_to_74_1970,65_to_74_1980,65_to_74_1990,65_to_74_2000,65_to_74_2010,65_to_74_2020,75_to_84_1970,75_to_84_1980,75_to_84_1990,75_to_84_2000,75_to_84_2010,75_to_84_2020,85_and_over_1970,85_and_over_1980,85_and_over_1990,85_and_over_2000,85_and_over_2010,85_and_over_2020
Columbia County,21,3307,3135,3121,3218,3411,2990,3998,3224,3457,3589,3637,3361,4425,3641,3361,3965,3854,3796,2579,2561,1938,2449,2365,2206,1087,1365,1127,1221,1209,1239,420,645,486,488,503,609,409,596,447,473,499,512,1461,1919,1522,1543,1650,1604,2225,3214,3306,3016,3320,3244,2125,3122,3642,3655,3484,3651,4255,4796,6774,9000,7751,7291,4380,4346,4643,7472,9354,7638,2035,2193,2033,2624,4090,4606,753,861,840,927,1475,1860,1091,1285,1336,1261,1937,2561,3130,3506,3832,3783,4390,6728,1923,2042,2345,2690,2754,3267,547,771,878,1094,1150,1327
Crawford County,23,1295,1302,1161,1022,948,769,1664,1311,1359,1166,1014,892,1709,1500,1288,1324,1046,998,1079,1099,813,1000,716,637,397,537,375,550,312,358,143,229,153,232,137,165,130,216,149,204,152,160,432,700,498,419,490,391,743,1215,1013,796,895,708,664,1093,1184,993,848,859,1509,1635,2184,2516,1838,1871,1702,1545,1561,2504,2651,1825,850,825,687,959,1363,1255,338,339,339,341,500,555,448,492,494,464,672,799,1328,1417,1475,1389,1679,2276,694,853,880,997,962,1178,127,248,327,367,421,417
Dane County,25,25272,20379,25747,25818,30240,30073,28288,20687,24400,26693,29874,32126,27787,23738,21464,27733,28873,32183,15681,15955,11726,16011,17097,18716,15894,16970,15344,16901,15772,19647,8977,9550,9731,10218,9765,10835,8938,9576,9325,9708,9703,10938,20906,25717,23341,24060,27784,29622,24700,37887,37268,34472,42441,46660,16753,29930,35689,33914,36412,44121,29159,35437,60900,70108,64784,76086,26374,27228,33777,60220,68809,62997,10648,12861,12574,18225,31594,33258,3793,4426,4764,5399,10952,13196,5188,6168,7028,7177,13829,18593,12975,15431,18994,20211,26559,50922,7036,8599,10987,14255,15811,22106,1903,3006,4026,5403,7774,9425
Dodge County,27,5856,5679,5462,5098,5020,4200,7097,5593,6143,5616,5390,4768,7627,6392,5693,6479,5596,5450,4122,4373,3152,4070,3573,3370,2055,2509,1903,2239,1964,1822,846,1242,877,956,870,859,825,1203,859,939,901,911,2661,3801,2830,2970,3096,2688,4057,6309,6133,5393,5851,5215,3863,5376,6876,6353,5581,5682,7543,8192,11166,15018,12151,11542,7763,7225,7599,11341,14830,11851,3544,3743,3160,3958,5994,7106,1256,1392,1325,1434,2040,3025,1850,2075,2039,2047,2651,3958,4784,5663,6109,5812,6571,9643,2557,3202,3790,4364,4456,5083,698,1095,1443,1810,2224,2223
Door County,29,1507,1976,1725,1277,1271,1139,1874,1673,1947,1720,1304,1208,2107,1919,1969,1943,1465,1507,1277,1330,1018,1232,1036,907,543,815,505,593,547,538,248,401,228,245,177,216,226,425,229,227,186,237,617,1352,703,630,646,658,946,2052,1788,1224,1261,1247,920,1716,2123,1470,1269,1356,1928,2498,3884,4413,2890,2969,2408,2170,2602,4375,4607,3254,1342,1219,1064,1788,2496,2424,513,561,493,622,985,1155,665,919,853,967,1400,1767,1876,2498,2390,2756,3400,5650,887,1189,1645,1789,2006,2817,222,316,524,690,839,1017
Douglas County,31,3309,3286,2822,2543,2594,2110,4150,3228,3086,2799,2560,2406,4521,3333,3037,2994,2676,2637,2617,2359,1736,1866,1635,1502,1958,1870,1265,1450,1371,1171,882,950,622,703,676,701,828,877,551,622,628,649,1988,2388,1607,1674,1921,1590,2412,3732,2994,2593,2950,2727,2056,3177,3302,2647,2622,2742,4233,4274,6256,6874,5283,5282,5127,4079,4038,6350,6897,5187,2697,2266,1769,2133,3273,3352,988,866,726,734,1191,1404,1338,1378,1140,1014,1521,2025,3318,3816,3612,3036,3399,5403,1808,1949,2384,2383,2064,2462,427,593,811,872,898,945
Dunn County,33,2066,2428,2352,2285,2422,2322,2420,2317,2663,2415,2497,2606,2622,2339,2450,2844,2566,2770,1575,1626,1382,1761,1574,1551,2263,2625,2086,2414,2612,2460,1136,1518,1339,1415,1493,1438,998,1556,1309,1420,1526,1276,1566,2550,2611,2661,2978,2578,1625,2704,2540,2414,2646,2625,1156,2286,2546,2403,2337,2621,2625,2976,4783,5444,4947,5105,2794,2709,2950,4988,5897,4963,1392,1337,1280,1689,2699,2862,498,505,513,505,1004,1165,755,767,789,725,1336,1614,2148,2271,2208,2231,2754,4577,1217,1394,1553,1569,1721,2089,298,406,555,675,848,818
Eau Claire County,35,5381,5259,6031,5565,5859,5898,5990,5422,6199,5934,5674,6178,6349,5907,5655,6364,5698,6263,3817,3991,3210,3957,3641,3578,4668,5628,4562,4739,4643,4848,2073,2936,2704,2897,2957,2817,1713,2605,2456,2750,2771,2723,3545,5019,5067,5552,6645,5283,3871,6642,6377,5926,7369,7141,3019,5955,6366,5842,5762,7253,6439,7498,12279,13147,10881,12618,7195,6542,7468,12158,12918,10830,3163,3538,3057,3943,6173,6300,1159,1218,1240,1230,2320,2517,1574,1987,1918,1743,2990,3569,4325,4979,5910,5472,6222,10513,2383,2800,3469,4324,4172,5026,555,879,1215,1599,2041,2355
Florence County,37,277,307,302,230,187,174,345,311,379,334,200,175,393,374,340,367,218,227,196,257,201,233,169,134,79,127,96,108,81,59,29,53,32,36,33,11,30,47,34,38,28,15,95,162,149,87,96,81,126,263,307,204,170,149,169,261,373,316,192,179,335,429,644,857,497,452,371,413,520,754,871,578,191,199,205,309,395,457,81,85,80,124,141,223,109,157,157,202,214,334,300,440,428,480,553,781,150,219,262,289,272,412,22,68,81,120,106,117
Fond du Lac County,39,7511,6951,6355,5851,6003,5332,8735,6840,7237,6638,6283,6103,9192,7681,7030,7271,6553,6692,5449,5178,3947,4729,4205,3968,3551,3628,2690,3110,2934,3042,1339,1638,1274,1406,1320,1413,1291,1692,1233,1296,1341,1252,3544,4627,3582,3320,3637,3395,5039,7328,6690,5625,6354,5995,4178,6451,7405,6588,5945,6389,8772,9219,13334,15724,12867,12775,8941,8575,8807,13518,15878,12555,3893,4292,3835,4683,7208,7687,1471,1547,1520,1503,2571,3175,1982,2286,2486,2092,3309,4402,5517,6200,6793,6775,7477,11674,3240,3614,4226,5048,5198,5792,922,1217,1639,2119,2550,2513
